country,year,ewaste_kpi,ewaste_kt,ewaste_t
MDG,2000,0.16036642,2.524969286,2524.969286
MDV,2000,1.581421951,0.42698392700000004,426.9839268
MEX,2000,2.928714706,295.495599,295495.599
MKD,2000,2.363481239,4.75059729,4750.59729
MLI,2000,0.205923815,2.11298427,2112.98427
MLT,2000,9.44546327,3.589276043,3589.276043
MMR,2000,0.154256715,7.1542721789999995,7154.2721790000005
MNE,2000,2.365464458,1.4476642480000002,1447.664248
MNG,2000,1.328929572,3.177470607,3177.470607
MOZ,2000,0.092205958,1.68515608,1685.15608
MRT,2000,0.514196862,1.359022306,1359.022306
MUS,2000,2.7154631339999997,3.220539277,3220.539277
MWI,2000,0.093627813,1.1300876979999999,1130.087698
MYS,2000,3.114698308,73.17983675,73179.83675
NAM,2000,1.6837170030000002,3.077834681,3077.834681
NER,2000,0.075591118,0.793177605,793.1776047999999
